answer,answer_pct,cell_pct,election,question,question_number,state,vote_group
Male,48.0,41.0,president,Gender,0,National,Clinton
Male,48.0,53.0,president,Gender,0,National,Trump
Male,48.0,6.0,president,Gender,0,National,Other/No Answer
Female,52.0,54.0,president,Gender,0,National,Clinton
Female,52.0,42.0,president,Gender,0,National,Trump
Female,52.0,4.0,president,Gender,0,National,Other/No Answer
18-29,19.0,55.0,president,Age,1,National,Clinton
18-29,19.0,37.0,president,Age,1,National,Trump
18-29,19.0,8.0,president,Age,1,National,Other/No Answer
30-44,25.0,50.0,president,Age,1,National,Clinton
30-44,25.0,42.0,president,Age,1,National,Trump
30-44,25.0,8.0,president,Age,1,National,Other/No Answer
45-64,40.0,44.0,president,Age,1,National,Clinton
45-64,40.0,53.0,president,Age,1,National,Trump
45-64,40.0,3.0,president,Age,1,National,Other/No Answer
65 and older,15.0,45.0,president,Age,1,National,Clinton
65 and older,15.0,53.0,president,Age,1,National,Trump
65 and older,15.0,2.0,president,Age,1,National,Other/No Answer
18-24,10.0,56.0,president,Age,2,National,Clinton
18-24,10.0,35.0,president,Age,2,National,Trump
18-24,10.0,9.0,president,Age,2,National,Other/No Answer
25-29,9.0,53.0,president,Age,2,National,Clinton
25-29,9.0,39.0,president,Age,2,National,Trump
25-29,9.0,8.0,president,Age,2,National,Other/No Answer
30-39,17.0,51.0,president,Age,2,National,Clinton
30-39,17.0,40.0,president,Age,2,National,Trump
30-39,17.0,9.0,president,Age,2,National,Other/No Answer
40-49,19.0,46.0,president,Age,2,National,Clinton
40-49,19.0,50.0,president,Age,2,National,Trump
40-49,19.0,4.0,president,Age,2,National,Other/No Answer
50-64,30.0,44.0,president,Age,2,National,Clinton
50-64,30.0,53.0,president,Age,2,National,Trump
50-64,30.0,3.0,president,Age,2,National,Other/No Answer
65 and older,15.0,45.0,president,Age,2,National,Clinton
65 and older,15.0,53.0,president,Age,2,National,Trump
65 and older,15.0,2.0,president,Age,2,National,Other/No Answer
18-44,44.0,52.0,president,Age,3,National,Clinton
18-44,44.0,40.0,president,Age,3,National,Trump
18-44,44.0,8.0,president,Age,3,National,Other/No Answer
45 and older,56.0,44.0,president,Age,3,National,Clinton
