csv,primary_key,2016_11_15,2016_11_24
house_primaries_2016.csv,"11th District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> T. Khouri</span>",100.0,0.0
house_primaries_2016.csv,"13th District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> A. Espaillat</span>",99.0,0.0
house_primaries_2016.csv,"13th District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> B. Davis</span>",100.0,0.0
house_primaries_2016.csv,"15th District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* S. Palacios</span>",100.0,0.0
house_primaries_2016.csv,"15th District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* V. Gonzalez</span>",100.0,0.0
house_primaries_2016.csv,"15th District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* R. Villarreal</span>",100.0,0.0
house_primaries_2016.csv,"15th District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* T. Westley</span>",100.0,0.0
house_primaries_2016.csv,"18th District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* L. Bartley</span>",100.0,0.0
house_primaries_2016.csv,"18th District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* R. Gonzales</span>",100.0,0.0
house_primaries_2016.csv,"19th District Primary__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* G. Robertson</span>",100.0,0.0
house_primaries_2016.csv,"19th District Primary__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span>* J. Arrington</span>",100.0,0.0
house_primaries_2016.csv,"1st District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> A. Throne-Holst</span>",100.0,0.0
house_primaries_2016.csv,"1st District Primaries__republican__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> M. Holbrook</span>",99.4,0.0
house_primaries_2016.csv,"2nd District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> A. Bjorn</span>",100.0,0.0
house_primaries_2016.csv,"3rd District Primaries__democrat__<span class=""name-combo""> <span class=""token token-winner""><b aria-hidden=""true"" class=""icon icon-check""></b><span class=""icon-text"">Winner</span></span> A. Pendley</span>",100.0,0.0
