ballot_measure_type,choice,is_winner,reporting_pct,state,summary,title,vote_pct,votes
Overall 2016 Alabama Ballot Measures Election Results,Yes,True,100.0,Alabama,A proposal to require a two-thirds supermajority vote in the Senate for conviction and impeachment of a state official.,Impeachments,53.6,779636
Overall 2016 Alabama Ballot Measures Election Results,No,False,100.0,Alabama,A proposal to require a two-thirds supermajority vote in the Senate for conviction and impeachment of a state official.,Impeachments,46.4,675420
Overall 2016 Alabama Ballot Measures Election Results,Yes,True,100.0,Alabama,A constitutional amendment prohibiting businesses from making rules about union membership.,Right To Work,69.6,1105938
Overall 2016 Alabama Ballot Measures Election Results,No,False,100.0,Alabama,A constitutional amendment prohibiting businesses from making rules about union membership.,Right To Work,30.4,483640
State Ballot Measures,Yes,True,100.0,Alabama,"A proposal to add two members, elected at-large, to the Auburn University Board of Trustees.",Auburn Trustees Term Limits,73.4,1168624
State Ballot Measures,No,False,100.0,Alabama,"A proposal to add two members, elected at-large, to the Auburn University Board of Trustees.",Auburn Trustees Term Limits,26.6,423598
State Ballot Measures,Yes,True,100.0,Alabama,This proposal prohibits reallocating state park funds for other uses and allows the Department of Conservation and Natural Resources to contract with non-state entities.,Dept. of Conservation,79.8,1399173
State Ballot Measures,No,False,100.0,Alabama,This proposal prohibits reallocating state park funds for other uses and allows the Department of Conservation and Natural Resources to contract with non-state entities.,Dept. of Conservation,20.2,354795
State Ballot Measures,Yes,True,100.0,Alabama,A proposal changing the procedure for determining local constitutional amendments.,Adoption of Local Amendments,60.6,921689
State Ballot Measures,No,False,100.0,Alabama,A proposal changing the procedure for determining local constitutional amendments.,Adoption of Local Amendments,39.4,599423
State Ballot Measures,Yes,True,100.0,Alabama,This proposal authorizes county commissions to establish programs pertaining to the administration of their respective counties.,County Commission Programs,71.6,1128061
State Ballot Measures,No,False,100.0,Alabama,This proposal authorizes county commissions to establish programs pertaining to the administration of their respective counties.,County Commission Programs,28.4,446386
State Ballot Measures,Yes,True,100.0,Alabama,This measure would reword and reorganize the Alabama constitution where it addresses the Alabama government's separation of powers.,Separation of Powers Language,59.9,911532
State Ballot Measures,No,False,100.0,Alabama,This measure would reword and reorganize the Alabama constitution where it addresses the Alabama government's separation of powers.,Separation of Powers Language,40.1,609149
State Ballot Measures,Yes,True,100.0,Alabama,A proposal to require a two-thirds supermajority vote in the Senate for conviction and impeachment of a state official.,Impeachments,53.6,779636
State Ballot Measures,No,False,100.0,Alabama,A proposal to require a two-thirds supermajority vote in the Senate for conviction and impeachment of a state official.,Impeachments,46.4,675420
State Ballot Measures,Yes,True,100.0,Alabama,A proposal to change the supervision of employees of the Etowah County Sheriff's office.,Etowah County Personnel,59.3,695560
State Ballot Measures,No,False,100.0,Alabama,A proposal to change the supervision of employees of the Etowah County Sheriff's office.,Etowah County Personnel,40.7,477192
State Ballot Measures,Yes,True,100.0,Alabama,A constitutional amendment prohibiting businesses from making rules about union membership.,Right To Work,69.6,1105938
State Ballot Measures,No,False,100.0,Alabama,A constitutional amendment prohibiting businesses from making rules about union membership.,Right To Work,30.4,483640
State Ballot Measures,Yes,True,100.0,Alabama,A proposal to increase the maximum age allowed for Judge of Probate candidates to 75 years of age.,Pickens County Judge Age,51.0,592697
State Ballot Measures,No,False,100.0,Alabama,A proposal to increase the maximum age allowed for Judge of Probate candidates to 75 years of age.,Pickens County Judge Age,49.0,569968
State Ballot Measures,Yes,True,100.0,Alabama,A proposed restriction of police and planning jurisdiction in Calhoun County.,Calhoun County Jurisdiction,65.6,756267
State Ballot Measures,No,False,100.0,Alabama,A proposed restriction of police and planning jurisdiction in Calhoun County.,Calhoun County Jurisdiction,34.4,396701
State Ballot Measures,Yes,True,100.0,Alabama,A proposal to confirm the Major 21st Century Manufacturing Zone Act.,Manufacturing Zone Tax,59.2,853463
State Ballot Measures,No,False,100.0,Alabama,A proposal to confirm the Major 21st Century Manufacturing Zone Act.,Manufacturing Zone Tax,40.8,587761
State Ballot Measures,Yes,True,100.0,Alabama,A proposal establishing a governing body to oversee toll roads and bridges.,Baldwin County Toll Roads,50.7,623092
State Ballot Measures,No,False,100.0,Alabama,A proposal establishing a governing body to oversee toll roads and bridges.,Baldwin County Toll Roads,49.3,606894
State Ballot Measures,Yes,True,100.0,Alabama,A measure to repeal age restrictions for government officials.,Repeal Age Restriction,57.3,866062
State Ballot Measures,No,False,100.0,Alabama,A measure to repeal age restrictions for government officials.,Repeal Age Restriction,42.7,644142
State Ballot Measures,Yes,True,100.0,Alabama,A resolution on budget isolation.,Budget Resolution,68.7,1030953
State Ballot Measures,No,False,100.0,Alabama,A resolution on budget isolation.,Budget Resolution,31.3,468902
Overall 2016 Alaska Ballot Measures Election Results,Yes,True,99.8,Alaska,An act allowing qualified individuals to register to vote when applying for a permanent fund dividend.,Voter Registeration through PFD Application,63.7,158392
Overall 2016 Alaska Ballot Measures Election Results,No,False,99.8,Alaska,An act allowing qualified individuals to register to vote when applying for a permanent fund dividend.,Voter Registeration through PFD Application,36.3,90284
State Ballot Measures,Yes,True,99.8,Alaska,An act allowing qualified individuals to register to vote when applying for a permanent fund dividend.,Voter Registeration through PFD Application,63.7,158392
State Ballot Measures,No,False,99.8,Alaska,An act allowing qualified individuals to register to vote when applying for a permanent fund dividend.,Voter Registeration through PFD Application,36.3,90284
State Ballot Measures,No,True,99.8,Alaska,A constitutional amendment allowing debt for postsecondary student loans.,Allow Student Loan Bonds,56.1,122546
State Ballot Measures,Yes,False,99.8,Alaska,A constitutional amendment allowing debt for postsecondary student loans.,Allow Student Loan Bonds,43.9,95910
