fips,geo_name,individual_party,is_incumbent,name,rank,reporting_pct,state,vote_pct,votes
10001,Kent County,D,False,J. Carney,1,100.0,Delaware,49.7,35954
10001,Kent County,R,False,C. Bonini,2,100.0,Delaware,48.1,34777
10001,Kent County,G,False,A. Groff,3,100.0,Delaware,1.2,835
10001,Kent County,L,False,S. Goward,4,100.0,Delaware,1.1,805
10003,New Castle County,D,False,J. Carney,1,100.0,Delaware,66.2,165973
10003,New Castle County,R,False,C. Bonini,2,100.0,Delaware,31.1,77837
10003,New Castle County,G,False,A. Groff,3,100.0,Delaware,1.5,3884
10003,New Castle County,L,False,S. Goward,4,100.0,Delaware,1.2,2978
10005,Sussex County,R,False,C. Bonini,1,100.0,Delaware,52.8,54235
10005,Sussex County,D,False,J. Carney,2,100.0,Delaware,45.2,46475
10005,Sussex County,G,False,A. Groff,3,100.0,Delaware,1.2,1232
10005,Sussex County,L,False,S. Goward,4,100.0,Delaware,0.8,794
18001,Adams County,R,False,E. Holcomb,1,100.0,Indiana,64.4,8403
18001,Adams County,D,False,J. Gregg,2,100.0,Indiana,32.7,4271
18001,Adams County,L,False,R. Bell,3,100.0,Indiana,2.8,370
18003,Allen County,R,False,E. Holcomb,1,100.0,Indiana,54.8,80334
18003,Allen County,D,False,J. Gregg,2,100.0,Indiana,42.2,61823
18003,Allen County,L,False,R. Bell,3,100.0,Indiana,3.0,4465
18005,Bartholomew County,R,False,E. Holcomb,1,100.0,Indiana,59.5,19060
18005,Bartholomew County,D,False,J. Gregg,2,100.0,Indiana,37.0,11869
18005,Bartholomew County,L,False,R. Bell,3,100.0,Indiana,3.5,1122
18007,Benton County,R,False,E. Holcomb,1,100.0,Indiana,63.2,2318
18007,Benton County,D,False,J. Gregg,2,100.0,Indiana,32.7,1201
18007,Benton County,L,False,R. Bell,3,100.0,Indiana,4.1,150
18009,Blackford County,R,False,E. Holcomb,1,100.0,Indiana,56.8,2719
