geo_name,individual_party,is_incumbent,is_winner,name,party,rank,reporting_pct,state,vote_pct,votes
Overall Delaware Governor Primary Results,republican,False,True,C. Bonini,,1,100.0,Delaware,69.9,21150.0
Overall Delaware Governor Primary Results,republican,False,False,L. Lafferty,,2,100.0,Delaware,30.1,9115.0
Overall Indiana Governor Primaries Results,democrat,False,True,J. Gregg,Democratic,1,100.0,Indiana,,
Overall Indiana Governor Primaries Results,republican,True,True,M. Pence,Republican,1,100.0,Indiana,,
Overall Missouri Governor Races Results,democrat,False,True,C. Koster,Democratic,1,100.0,Missouri,78.8,255466.0
Overall Missouri Governor Races Results,democrat,False,False,E. Morrison,Democratic,2,100.0,Missouri,9.7,31364.0
Overall Missouri Governor Races Results,democrat,False,False,C. Wheeler,Democratic,3,100.0,Missouri,7.9,25656.0
Overall Missouri Governor Races Results,democrat,False,False,L. Steinman,Democratic,4,100.0,Missouri,3.7,11874.0
Overall Missouri Governor Races Results,republican,False,True,E. Greitens,Republican,1,100.0,Missouri,34.6,236250.0
Overall Missouri Governor Races Results,republican,False,False,J. Brunner,Republican,2,100.0,Missouri,24.8,169425.0
Overall Missouri Governor Races Results,republican,False,False,P. Kinder,Republican,3,100.0,Missouri,20.7,141498.0
Overall Missouri Governor Races Results,republican,False,False,C. Hanaway,Republican,4,100.0,Missouri,19.9,136350.0
Overall Missouri Governor Races Results,independent_or_other,False,True,C. Spragins,Independent,1,100.0,Missouri,,
Overall Montana Governor Races Results,democrat,True,True,S. Bullock,Democratic,1,100.0,Montana,91.3,109567.0
Overall Montana Governor Races Results,democrat,False,False,B. McChesney,Democratic,2,100.0,Montana,8.7,10503.0
Overall Montana Governor Races Results,republican,False,True,G. Gianforte,Republican,1,100.0,Montana,76.4,110079.0
Overall Montana Governor Races Results,republican,False,False,T. Nelson,Republican,2,100.0,Montana,23.6,34074.0
Overall Montana Governor Races Results,independent_or_other,False,True,T. Dunlap,Governor Election,1,100.0,Montana,,
Overall New Hampshire Governor Primaries Results,democrat,False,True,C. Van Ostern,Democratic,1,100.0,New Hampshire,52.0,37696.0
Overall New Hampshire Governor Primaries Results,democrat,False,False,S. Marchand,Democratic,2,100.0,New Hampshire,25.3,18338.0
Overall New Hampshire Governor Primaries Results,democrat,False,False,M. Connolly,Democratic,3,100.0,New Hampshire,20.5,14840.0
Overall New Hampshire Governor Primaries Results,democrat,False,False,I. Freeman,Democratic,4,100.0,New Hampshire,1.5,1069.0
Overall New Hampshire Governor Primaries Results,democrat,False,False,D. Dextraze,Democratic,5,100.0,New Hampshire,0.8,557.0
Overall New Hampshire Governor Primaries Results,republican,False,True,C. Sununu,Republican,1,100.0,New Hampshire,30.7,34137.0
Overall New Hampshire Governor Primaries Results,republican,False,False,F. Edelblut,Republican,2,100.0,New Hampshire,29.8,33149.0
Overall New Hampshire Governor Primaries Results,republican,False,False,T. Gatsas,Republican,3,100.0,New Hampshire,20.5,22840.0
Overall New Hampshire Governor Primaries Results,republican,False,False,J. Forrester,Republican,4,100.0,New Hampshire,17.7,19716.0
Overall New Hampshire Governor Primaries Results,republican,False,False,J. Lavoie,Republican,5,100.0,New Hampshire,1.3,1429.0
Overall North Carolina Governor Primaries Results,democrat,False,True,R. Cooper,Democratic,1,100.0,North Carolina,68.8,702943.0
