fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
10001,Kent County,republican,False,C. Bonini,,1,100.0,Delaware,77.3,5057.0
10001,Kent County,republican,False,L. Lafferty,,2,100.0,Delaware,22.7,1489.0
10003,New Castle County,republican,False,C. Bonini,,1,100.0,Delaware,75.3,8302.0
10003,New Castle County,republican,False,L. Lafferty,,2,100.0,Delaware,24.7,2717.0
10005,Sussex County,republican,False,C. Bonini,,1,100.0,Delaware,61.3,7791.0
10005,Sussex County,republican,False,L. Lafferty,,2,100.0,Delaware,38.7,4909.0
18001,Adams County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18001,Adams County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18003,Allen County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18003,Allen County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18005,Bartholomew County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18005,Bartholomew County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18007,Benton County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18007,Benton County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18009,Blackford County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18009,Blackford County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18011,Boone County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18011,Boone County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18013,Brown County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18013,Brown County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18015,Carroll County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18015,Carroll County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18017,Cass County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18017,Cass County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18019,Clark County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,
18019,Clark County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18021,Clay County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18021,Clay County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18023,Clinton County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
18023,Clinton County,republican,True,M. Pence,Republican,1,100.0,Indiana,,
18025,Crawford County,democrat,False,J. Gregg,Democratic,1,100.0,Indiana,,
