fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
1,1st District Election,republican,True,True,B. Byrne,1,100.0,Alabama,,
2,2nd District Election,republican,True,True,M. Roby,1,100.0,Alabama,54.6,134450.0
2,2nd District Election,democrat,False,False,N. Mathis,2,100.0,Alabama,45.4,111640.0
3,3rd District Election,republican,True,True,M. Rogers,1,100.0,Alabama,67.1,190724.0
3,3rd District Election,democrat,False,False,J. Smith,2,100.0,Alabama,32.9,93567.0
4,4th District Election,republican,True,True,R. Aderholt,1,100.0,Alabama,,
5,5th District Election,republican,True,True,M. Brooks,1,100.0,Alabama,66.8,204791.0
5,5th District Election,democrat,False,False,W. Boyd,2,100.0,Alabama,33.2,101577.0
6,6th District Election,republican,True,True,G. Palmer,1,100.0,Alabama,74.8,240897.0
6,6th District Election,democrat,False,False,D. Putman,2,100.0,Alabama,25.2,81296.0
7,7th District Election,democrat,True,True,T. Sewell,1,100.0,Alabama,,
1,1st District Election,republican,True,True,D. Young,1,99.5,Alaska,50.5,125729.0
1,1st District Election,democrat,False,False,S. Lindbeck,2,99.5,Alaska,36.5,90784.0
1,1st District Election,independent_or_other,False,False,J. McDermott,3,99.5,Alaska,10.1,25104.0
1,1st District Election,independent_or_other,False,False,B. Souphanavong,4,99.5,Alaska,2.9,7158.0
1,1st District Election,democrat,False,True,T. O'Halleran,1,100.0,Arizona,50.8,117048.0
1,1st District Election,republican,False,False,P. Babeu,2,100.0,Arizona,43.5,100236.0
1,1st District Election,independent_or_other,False,False,R. Parrish,3,100.0,Arizona,5.7,13122.0
2,2nd District Election,republican,True,True,M. McSally,1,100.0,Arizona,56.7,157677.0
2,2nd District Election,democrat,False,False,M. Heinz,2,100.0,Arizona,43.3,120572.0
3,3rd District Election,democrat,True,True,R. Grijalva,1,100.0,Arizona,,
4,4th District Election,republican,True,True,P. Gosar,1,100.0,Arizona,71.5,171901.0
4,4th District Election,democrat,False,False,M. Weisser,2,100.0,Arizona,28.5,68460.0
5,5th District Election,republican,False,True,A. Biggs,1,100.0,Arizona,63.1,157980.0
5,5th District Election,democrat,False,False,T. Fuentes,2,100.0,Arizona,36.9,92225.0
6,6th District Election,republican,True,True,D. Schweikert,1,100.0,Arizona,61.6,158978.0
6,6th District Election,democrat,False,False,J. Williamson,2,100.0,Arizona,38.4,99008.0
7,7th District Election,democrat,True,True,R. Gallego,1,100.0,Arizona,74.6,88219.0
7,7th District Election,republican,False,False,E. Nunez,2,100.0,Arizona,25.4,30040.0
8,8th District Election,republican,True,True,T. Franks,1,100.0,Arizona,68.6,165593.0
8,8th District Election,independent_or_other,False,False,M. Salazar,2,100.0,Arizona,31.4,75963.0
9,9th District Election,democrat,True,True,K. Sinema,1,100.0,Arizona,61.1,132281.0
9,9th District Election,republican,False,False,D. Giles,2,100.0,Arizona,38.9,84137.0
1,1st District Election,republican,True,True,R. Crawford,1,100.0,Arkansas,76.5,183068.0
1,1st District Election,independent_or_other,False,False,M. West,2,100.0,Arkansas,23.5,56200.0
2,2nd District Election,republican,True,True,F. Hill,1,100.0,Arkansas,58.4,176100.0
2,2nd District Election,democrat,False,False,D. Curry,2,100.0,Arkansas,36.8,111049.0
2,2nd District Election,independent_or_other,False,False,C. Hayes,3,100.0,Arkansas,4.7,14287.0
3,3rd District Election,republican,True,True,S. Womack,1,100.0,Arkansas,77.3,214268.0
3,3rd District Election,independent_or_other,False,False,S. Isaacson,2,100.0,Arkansas,22.7,62793.0
4,4th District Election,republican,True,True,B. Westerman,1,100.0,Arkansas,74.9,181921.0
4,4th District Election,independent_or_other,False,False,K. Hicks,2,100.0,Arkansas,25.1,60969.0
1,1st District Election,republican,True,True,D. La Malfa,1,100.0,California,59.5,164907.0
1,1st District Election,democrat,False,False,J. Reed,2,100.0,California,40.5,112183.0
2,2nd District Election,democrat,True,True,J. Huffman,1,100.0,California,77.1,177724.0
2,2nd District Election,republican,False,False,D. Mensing,2,100.0,California,22.9,52818.0
3,3rd District Election,democrat,True,True,J. Garamendi,1,100.0,California,58.2,127623.0
3,3rd District Election,republican,False,False,E. Cleek,2,100.0,California,41.8,91544.0
4,4th District Election,republican,True,True,T. McClintock,1,100.0,California,62.8,196613.0
4,4th District Election,democrat,False,False,R. Derlet,2,100.0,California,37.2,116541.0
5,5th District Election,democrat,True,True,M. Thompson,1,100.0,California,77.2,172810.0
5,5th District Election,republican,False,False,C. Santamaria,2,100.0,California,22.8,51098.0
6,6th District Election,democrat,True,True,D. Matsui,1,100.0,California,75.2,145704.0
6,6th District Election,republican,False,False,R. Evans,2,100.0,California,24.8,47926.0
7,7th District Election,democrat,True,True,A. Bera,1,100.0,California,51.2,129064.0
7,7th District Election,republican,False,False,S. Jones,2,100.0,California,48.8,123056.0
8,8th District Election,republican,True,True,P. Cook,1,100.0,California,62.7,129690.0
8,8th District Election,democrat,False,False,R. Ramirez,2,100.0,California,37.3,76999.0
9,9th District Election,democrat,True,True,J. McNerney,1,100.0,California,57.6,106256.0
9,9th District Election,republican,False,False,T. Amador,2,100.0,California,42.4,78121.0
10,10th District Election,republican,True,True,J. Denham,1,100.0,California,52.4,110659.0
10,10th District Election,democrat,False,False,M. Eggman,2,100.0,California,47.6,100646.0
11,11th District Election,democrat,True,True,M. DeSaulnier,1,100.0,California,71.8,194345.0
11,11th District Election,republican,False,False,R. Petersen,2,100.0,California,28.2,76473.0
12,12th District Election,democrat,True,True,N. Pelosi,1,100.0,California,81.0,250378.0
12,12th District Election,independent_or_other,False,False,P. Picus,2,100.0,California,19.0,58577.0
13,13th District Election,democrat,True,True,B. Lee,1,100.0,California,90.7,277390.0
13,13th District Election,republican,False,False,S. Caro,2,100.0,California,9.3,28413.0
14,14th District Election,democrat,True,True,J. Speier,1,100.0,California,80.9,213612.0
14,14th District Election,republican,False,False,A. Cardenas,2,100.0,California,19.1,50485.0
15,15th District Election,democrat,True,True,E. Swalwell,1,100.0,California,73.8,188179.0
15,15th District Election,republican,False,False,D. Turner,2,100.0,California,26.2,66959.0
16,16th District Election,democrat,True,True,J. Costa,1,100.0,California,57.8,72111.0
16,16th District Election,republican,False,False,J. Tacherra,2,100.0,California,42.2,52570.0
17,17th District Election,democrat,False,True,R. Khanna,1,100.0,California,61.1,135607.0
17,17th District Election,democrat,True,False,M. Honda,2,100.0,California,38.9,86505.0
18,18th District Election,democrat,True,True,A. Eshoo,1,100.0,California,71.2,220139.0
18,18th District Election,republican,False,False,R. Fox,2,100.0,California,28.8,88907.0
19,19th District Election,democrat,True,True,Z. Lofgren,1,100.0,California,74.0,171688.0
19,19th District Election,republican,False,False,B. Lancaster,2,100.0,California,26.0,60420.0
20,20th District Election,democrat,False,True,J. Panetta,1,100.0,California,70.6,144870.0
20,20th District Election,republican,False,False,C. Lucius,2,100.0,California,29.4,60324.0
21,21st District Election,republican,True,True,D. Valadao,1,100.0,California,58.0,68481.0
21,21st District Election,democrat,False,False,E. Huerta,2,100.0,California,42.0,49643.0
22,22nd District Election,republican,True,True,D. Nunes,1,100.0,California,68.2,143333.0
22,22nd District Election,democrat,False,False,L. Campos,2,100.0,California,31.8,66802.0
23,23rd District Election,republican,True,True,K. McCarthy,1,100.0,California,70.0,151346.0
23,23rd District Election,democrat,False,False,W. Reed,2,100.0,California,30.0,64842.0
24,24th District Election,democrat,False,True,S. Carbajal,1,100.0,California,53.2,155492.0
24,24th District Election,republican,False,False,J. Fareed,2,100.0,California,46.8,136532.0
25,25th District Election,republican,True,True,S. Knight,1,100.0,California,54.2,112768.0
25,25th District Election,democrat,False,False,B. Caforio,2,100.0,California,45.8,95296.0
26,26th District Election,democrat,True,True,J. Brownley,1,100.0,California,59.9,148550.0
26,26th District Election,republican,False,False,R. Dagnesses,2,100.0,California,40.1,99597.0
27,27th District Election,democrat,True,True,J. Chu,1,100.0,California,66.5,133766.0
27,27th District Election,republican,False,False,J. Orswell,2,100.0,California,33.5,67421.0
28,28th District Election,democrat,True,True,A. Schiff,1,100.0,California,77.9,168082.0
28,28th District Election,republican,False,False,L. Solis,2,100.0,California,22.1,47619.0
29,29th District Election,democrat,True,True,T. Cardenas,1,100.0,California,75.2,98879.0
29,29th District Election,democrat,False,False,R. Alarcon,2,100.0,California,24.8,32656.0
30,30th District Election,democrat,True,True,B. Sherman,1,100.0,California,72.4,159974.0
30,30th District Election,republican,False,False,M. Reed,2,100.0,California,27.6,60865.0
31,31st District Election,democrat,True,True,P. Aguilar,1,100.0,California,55.7,111870.0
31,31st District Election,republican,False,False,P. Chabot,2,100.0,California,44.3,89070.0
32,32nd District Election,democrat,True,True,G. Napolitano,1,100.0,California,62.4,93059.0
32,32nd District Election,democrat,False,False,R. Hernandez,2,100.0,California,37.6,56050.0
33,33rd District Election,democrat,True,True,T. Lieu,1,100.0,California,66.3,173778.0
33,33rd District Election,republican,False,False,K. Wright,2,100.0,California,33.7,88507.0
34,34th District Election,democrat,True,True,X. Becerra,1,100.0,California,78.2,97305.0
34,34th District Election,democrat,False,False,A. Edwards,2,100.0,California,21.8,27091.0
35,35th District Election,democrat,True,True,N. Torres,1,100.0,California,71.8,109767.0
35,35th District Election,republican,False,False,T. Fischella,2,100.0,California,28.2,43189.0
36,36th District Election,democrat,True,True,R. Ruiz,1,100.0,California,61.4,132252.0
36,36th District Election,republican,False,False,J. Stone,2,100.0,California,38.6,83049.0
37,37th District Election,democrat,True,True,K. Bass,1,100.0,California,82.0,150535.0
37,37th District Election,democrat,False,False,C. Wiggins,2,100.0,California,18.0,33082.0
38,38th District Election,democrat,True,True,L. Sanchez,1,100.0,California,69.7,131099.0
38,38th District Election,republican,False,False,R. Downing,2,100.0,California,30.3,56883.0
39,39th District Election,republican,True,True,E. Royce,1,100.0,California,57.7,138907.0
39,39th District Election,democrat,False,False,B. Murdock,2,100.0,California,42.3,101651.0
40,40th District Election,democrat,True,True,L. Roybal-Allard,1,100.0,California,71.9,82789.0
40,40th District Election,independent_or_other,False,False,R. Gonzalez,2,100.0,California,28.1,32404.0
41,41st District Election,democrat,True,True,M. Takano,1,100.0,California,64.4,115859.0
41,41st District Election,republican,False,False,D. Shepherd,2,100.0,California,35.6,64153.0
42,42nd District Election,republican,True,True,K. Calvert,1,100.0,California,59.0,139915.0
42,42nd District Election,democrat,False,False,T. Sheridan,2,100.0,California,41.0,97123.0
43,43rd District Election,democrat,True,True,M. Waters,1,100.0,California,75.6,128551.0
43,43rd District Election,republican,False,False,O. Navarro,2,100.0,California,24.4,41507.0
44,44th District Election,democrat,False,True,N. Barragan,1,100.0,California,51.1,70303.0
44,44th District Election,democrat,False,False,I. Hall,2,100.0,California,48.9,67177.0
45,45th District Election,republican,True,True,M. Walters,1,100.0,California,59.0,171736.0
45,45th District Election,democrat,False,False,R. Varasteh,2,100.0,California,41.0,119521.0
46,46th District Election,democrat,False,True,L. Correa,1,100.0,California,69.9,103475.0
46,46th District Election,democrat,False,False,B. Nguyen,2,100.0,California,30.1,44652.0
47,47th District Election,democrat,True,True,A. Lowenthal,1,100.0,California,62.5,127832.0
47,47th District Election,republican,False,False,A. Whallon,2,100.0,California,37.5,76670.0
48,48th District Election,republican,True,True,D. Rohrabacher,1,100.0,California,58.5,165987.0
48,48th District Election,democrat,False,False,S. Savary,2,100.0,California,41.5,117716.0
49,49th District Election,republican,True,True,D. Issa,1,100.0,California,51.0,134428.0
