electoral_votes,fips,geo_name,individual_party,is_winner,name,rank,reporting_pct,state,vote_pct,votes
,1001,Autauga County,republican,,D. Trump,1,100.0,Alabama,73.4,18110
,1001,Autauga County,democrat,,H. Clinton,2,100.0,Alabama,24.0,5908
,1001,Autauga County,independent_or_other,,G. Johnson,3,100.0,Alabama,2.2,538
,1001,Autauga County,independent_or_other,,J. Stein,4,100.0,Alabama,0.4,105
,1003,Baldwin County,republican,,D. Trump,1,100.0,Alabama,77.4,72780
,1003,Baldwin County,democrat,,H. Clinton,2,100.0,Alabama,19.6,18409
,1003,Baldwin County,independent_or_other,,G. Johnson,3,100.0,Alabama,2.6,2448
,1003,Baldwin County,independent_or_other,,J. Stein,4,100.0,Alabama,0.5,453
,1005,Barbour County,republican,,D. Trump,1,100.0,Alabama,52.3,5431
,1005,Barbour County,democrat,,H. Clinton,2,100.0,Alabama,46.7,4848
,1005,Barbour County,independent_or_other,,G. Johnson,3,100.0,Alabama,0.9,93
,1005,Barbour County,independent_or_other,,J. Stein,4,100.0,Alabama,0.2,18
,1007,Bibb County,republican,,D. Trump,1,100.0,Alabama,77.0,6733
,1007,Bibb County,democrat,,H. Clinton,2,100.0,Alabama,21.4,1874
,1007,Bibb County,independent_or_other,,G. Johnson,3,100.0,Alabama,1.4,124
,1007,Bibb County,independent_or_other,,J. Stein,4,100.0,Alabama,0.2,17
,1009,Blount County,republican,,D. Trump,1,100.0,Alabama,89.9,22808
,1009,Blount County,democrat,,H. Clinton,2,100.0,Alabama,8.5,2150
,1009,Blount County,independent_or_other,,G. Johnson,3,100.0,Alabama,1.3,337
,1009,Blount County,independent_or_other,,J. Stein,4,100.0,Alabama,0.4,89
,1011,Bullock County,democrat,,H. Clinton,1,100.0,Alabama,75.1,3530
,1011,Bullock County,republican,,D. Trump,2,100.0,Alabama,24.2,1139
,1011,Bullock County,independent_or_other,,G. Johnson,3,100.0,Alabama,0.5,22
,1011,Bullock County,independent_or_other,,J. Stein,4,100.0,Alabama,0.2,10
,1013,Butler County,republican,,D. Trump,1,100.0,Alabama,56.3,4891
,1013,Butler County,democrat,,H. Clinton,2,100.0,Alabama,42.8,3716
,1013,Butler County,independent_or_other,,G. Johnson,3,100.0,Alabama,0.7,65
,1013,Butler County,independent_or_other,,J. Stein,4,100.0,Alabama,0.1,13
,1015,Calhoun County,republican,,D. Trump,1,100.0,Alabama,69.2,32803
,1015,Calhoun County,democrat,,H. Clinton,2,100.0,Alabama,27.9,13197
,1015,Calhoun County,independent_or_other,,G. Johnson,3,100.0,Alabama,2.4,1114
,1015,Calhoun County,independent_or_other,,J. Stein,4,100.0,Alabama,0.6,262
,1017,Chambers County,republican,,D. Trump,1,100.0,Alabama,56.6,7803
,1017,Chambers County,democrat,,H. Clinton,2,100.0,Alabama,41.8,5763
,1017,Chambers County,independent_or_other,,G. Johnson,3,100.0,Alabama,1.2,168
