fips,geo_name,name,party,rank,reporting_pct,state,vote_pct,votes
1001,Autauga County,H. Clinton,Democratic,1,100.0,Alabama,80.0,2387.0
1001,Autauga County,B. Sanders,Democratic,2,100.0,Alabama,18.2,544.0
1001,Autauga County,Uncommitted,Democratic,3,100.0,Alabama,1.4,42.0
1001,Autauga County,R. De La Fuente,Democratic,4,100.0,Alabama,0.2,6.0
1001,Autauga County,M. O'Malley,Democratic,5,100.0,Alabama,0.1,3.0
1001,Autauga County,D. Trump,Republican,1,100.0,Alabama,44.5,5387.0
1001,Autauga County,T. Cruz,Republican,2,100.0,Alabama,20.5,2482.0
1001,Autauga County,M. Rubio,Republican,3,100.0,Alabama,14.8,1785.0
1001,Autauga County,B. Carson,Republican,4,100.0,Alabama,14.6,1764.0
1001,Autauga County,J. Kasich,Republican,5,100.0,Alabama,3.5,421.0
1001,Autauga County,Uncommitted,Republican,6,100.0,Alabama,1.0,122.0
1001,Autauga County,J. Bush,Republican,7,100.0,Alabama,0.5,57.0
1001,Autauga County,M. Huckabee,Republican,8,100.0,Alabama,0.3,32.0
1001,Autauga County,R. Paul,Republican,9,100.0,Alabama,0.2,25.0
1001,Autauga County,C. Christie,Republican,10,100.0,Alabama,0.1,8.0
1001,Autauga County,C. Fiorina,Republican,11,100.0,Alabama,0.1,8.0
1001,Autauga County,R. Santorum,Republican,12,100.0,Alabama,0.0,5.0
1001,Autauga County,L. Graham,Republican,13,100.0,Alabama,0.0,3.0
1003,Baldwin County,H. Clinton,Democratic,1,100.0,Alabama,64.7,5290.0
1003,Baldwin County,B. Sanders,Democratic,2,100.0,Alabama,32.9,2694.0
1003,Baldwin County,Uncommitted,Democratic,3,100.0,Alabama,1.8,149.0
1003,Baldwin County,M. O'Malley,Democratic,4,100.0,Alabama,0.4,30.0
1003,Baldwin County,R. De La Fuente,Democratic,5,100.0,Alabama,0.2,15.0
1003,Baldwin County,D. Trump,Republican,1,100.0,Alabama,46.9,23618.0
1003,Baldwin County,M. Rubio,Republican,2,100.0,Alabama,19.3,9703.0
1003,Baldwin County,T. Cruz,Republican,3,100.0,Alabama,17.0,8571.0
1003,Baldwin County,B. Carson,Republican,4,100.0,Alabama,8.4,4221.0
1003,Baldwin County,J. Kasich,Republican,5,100.0,Alabama,5.9,2987.0
1003,Baldwin County,Uncommitted,Republican,6,100.0,Alabama,1.4,699.0
1003,Baldwin County,J. Bush,Republican,7,100.0,Alabama,0.5,229.0
1003,Baldwin County,R. Paul,Republican,8,100.0,Alabama,0.2,116.0
1003,Baldwin County,M. Huckabee,Republican,9,100.0,Alabama,0.2,105.0
1003,Baldwin County,C. Christie,Republican,10,100.0,Alabama,0.1,49.0
1003,Baldwin County,R. Santorum,Republican,11,100.0,Alabama,0.1,39.0
1003,Baldwin County,C. Fiorina,Republican,12,100.0,Alabama,0.1,27.0
1003,Baldwin County,L. Graham,Republican,13,100.0,Alabama,0.0,16.0
1005,Barbour County,H. Clinton,Democratic,1,100.0,Alabama,90.6,2567.0
1005,Barbour County,B. Sanders,Democratic,2,100.0,Alabama,7.8,222.0
1005,Barbour County,Uncommitted,Democratic,3,100.0,Alabama,1.2,33.0
1005,Barbour County,M. O'Malley,Democratic,4,100.0,Alabama,0.3,8.0
1005,Barbour County,R. De La Fuente,Democratic,5,100.0,Alabama,0.1,3.0
1005,Barbour County,D. Trump,Republican,1,100.0,Alabama,50.1,1710.0
1005,Barbour County,T. Cruz,Republican,2,100.0,Alabama,17.9,609.0
1005,Barbour County,M. Rubio,Republican,3,100.0,Alabama,14.6,498.0
1005,Barbour County,B. Carson,Republican,4,100.0,Alabama,12.2,417.0
1005,Barbour County,J. Kasich,Republican,5,100.0,Alabama,3.6,123.0
1005,Barbour County,Uncommitted,Republican,6,100.0,Alabama,0.6,21.0
1005,Barbour County,J. Bush,Republican,7,100.0,Alabama,0.3,10.0
1005,Barbour County,M. Huckabee,Republican,8,100.0,Alabama,0.3,9.0
1005,Barbour County,C. Christie,Republican,9,100.0,Alabama,0.2,6.0
1005,Barbour County,L. Graham,Republican,10,100.0,Alabama,0.1,4.0
1005,Barbour County,R. Paul,Republican,11,100.0,Alabama,0.1,3.0
1005,Barbour County,C. Fiorina,Republican,12,100.0,Alabama,0.0,1.0
1005,Barbour County,R. Santorum,Republican,13,100.0,Alabama,0.0,0.0
1007,Bibb County,H. Clinton,Democratic,1,100.0,Alabama,75.5,942.0
1007,Bibb County,B. Sanders,Democratic,2,100.0,Alabama,19.7,246.0
1007,Bibb County,Uncommitted,Democratic,3,100.0,Alabama,3.7,46.0
1007,Bibb County,M. O'Malley,Democratic,4,100.0,Alabama,0.8,10.0
1007,Bibb County,R. De La Fuente,Democratic,5,100.0,Alabama,0.3,4.0
1007,Bibb County,D. Trump,Republican,1,100.0,Alabama,49.4,1959.0
1007,Bibb County,T. Cruz,Republican,2,100.0,Alabama,25.5,1011.0
1007,Bibb County,M. Rubio,Republican,3,100.0,Alabama,11.2,444.0
1007,Bibb County,B. Carson,Republican,4,100.0,Alabama,9.9,393.0
1007,Bibb County,J. Kasich,Republican,5,100.0,Alabama,2.1,84.0
1007,Bibb County,Uncommitted,Republican,6,100.0,Alabama,0.8,30.0
1007,Bibb County,J. Bush,Republican,7,100.0,Alabama,0.4,17.0
1007,Bibb County,M. Huckabee,Republican,8,100.0,Alabama,0.4,15.0
1007,Bibb County,R. Paul,Republican,9,100.0,Alabama,0.2,6.0
1007,Bibb County,C. Christie,Republican,10,100.0,Alabama,0.1,3.0
1007,Bibb County,C. Fiorina,Republican,11,100.0,Alabama,0.1,3.0
