geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
Overall 2016 Alabama Senate Election Results,republican,True,True,R. Shelby,1,100.0,Alabama,64.2,1323184
Overall 2016 Alabama Senate Election Results,democrat,False,False,R. Crumpton,2,100.0,Alabama,35.8,737542
Overall 2016 Alaska Senate Election Results,republican,True,True,L. Murkowski,1,99.8,Alaska,44.3,111382
Overall 2016 Alaska Senate Election Results,independent_or_other,False,False,J. Miller,2,99.8,Alaska,29.5,74245
Overall 2016 Alaska Senate Election Results,independent_or_other,False,False,M. Stock,3,99.8,Alaska,13.7,34579
Overall 2016 Alaska Senate Election Results,democrat,False,False,R. Metcalfe,4,99.8,Alaska,11.1,28026
Overall 2016 Alaska Senate Election Results,independent_or_other,False,False,B. Craig,5,99.8,Alaska,0.8,2027
Overall 2016 Alaska Senate Election Results,independent_or_other,False,False,T. Gianoutsos,6,99.8,Alaska,0.6,1385
Overall 2016 Arizona Senate Election Results,republican,True,True,J. McCain,1,100.0,Arizona,53.4,1085285
Overall 2016 Arizona Senate Election Results,democrat,False,False,A. Kirkpatrick,2,100.0,Arizona,41.2,837122
Overall 2016 Arizona Senate Election Results,independent_or_other,False,False,G. Swing,3,100.0,Arizona,5.5,111743
Overall 2016 Arkansas Senate Election Results,republican,True,True,J. Boozman,1,100.0,Arkansas,59.8,657856
Overall 2016 Arkansas Senate Election Results,democrat,False,False,C. Eldridge,2,100.0,Arkansas,36.2,397970
Overall 2016 Arkansas Senate Election Results,independent_or_other,False,False,F. Gilbert,3,100.0,Arkansas,4.0,43720
Overall 2016 California Senate Election Results,democrat,False,True,K. Harris,1,100.0,California,62.6,4961327
Overall 2016 California Senate Election Results,democrat,False,False,L. Sanchez,2,100.0,California,37.4,2967515
Overall 2016 Colorado Senate Election Results,democrat,True,True,M. Bennet,1,100.0,Colorado,49.1,1242335
Overall 2016 Colorado Senate Election Results,republican,False,False,D. Glenn,2,100.0,Colorado,45.4,1148008
Overall 2016 Colorado Senate Election Results,independent_or_other,False,False,L. Williams,3,100.0,Colorado,3.5,88303
Overall 2016 Colorado Senate Election Results,independent_or_other,False,False,A. Menconi,4,100.0,Colorado,1.2,31548
Overall 2016 Colorado Senate Election Results,independent_or_other,False,False,B. Hammons,5,100.0,Colorado,0.3,8392
Overall 2016 Colorado Senate Election Results,independent_or_other,False,False,D. Chapin,6,100.0,Colorado,0.3,7450
Overall 2016 Colorado Senate Election Results,independent_or_other,False,False,P. Fiorino,7,100.0,Colorado,0.1,2732
Overall 2016 Connecticut Senate Election Results,democrat,True,True,R. Blumenthal,1,96.1,Connecticut,62.5,921937
Overall 2016 Connecticut Senate Election Results,republican,False,False,D. Carter,2,96.1,Connecticut,35.3,520052
Overall 2016 Connecticut Senate Election Results,independent_or_other,False,False,R. Lion,3,96.1,Connecticut,1.2,17002
Overall 2016 Connecticut Senate Election Results,independent_or_other,False,False,J. Russell,4,96.1,Connecticut,1.0,15452
Overall 2016 Florida Senate Election Results,republican,True,True,M. Rubio,1,100.0,Florida,52.0,4822182
Overall 2016 Florida Senate Election Results,democrat,False,False,P. Murphy,2,100.0,Florida,44.3,4105251
Overall 2016 Florida Senate Election Results,independent_or_other,False,False,P. Stanton,3,100.0,Florida,2.1,196188
Overall 2016 Florida Senate Election Results,independent_or_other,False,False,B. Nathan,4,100.0,Florida,0.6,52274
Overall 2016 Florida Senate Election Results,independent_or_other,False,False,T. Khoury,5,100.0,Florida,0.5,45604
Overall 2016 Florida Senate Election Results,independent_or_other,False,False,S. Machat,6,100.0,Florida,0.3,26789
Overall 2016 Florida Senate Election Results,independent_or_other,False,False,B. Dalack,7,100.0,Florida,0.2,22134
Overall 2016 Georgia Senate Election Results,republican,True,True,J. Isakson,1,100.0,Georgia,55.0,2110737
Overall 2016 Georgia Senate Election Results,democrat,False,False,J. Barksdale,2,100.0,Georgia,40.8,1565006
Overall 2016 Georgia Senate Election Results,independent_or_other,False,False,A. Buckley,3,100.0,Georgia,4.2,159914
Overall 2016 Hawaii Senate Election Results,democrat,True,True,B. Schatz,1,100.0,Hawaii,73.6,289298
Overall 2016 Hawaii Senate Election Results,republican,False,False,J. Carroll,2,100.0,Hawaii,22.2,87270
Overall 2016 Hawaii Senate Election Results,independent_or_other,False,False,J. Allison,3,100.0,Hawaii,2.2,8619
Overall 2016 Hawaii Senate Election Results,independent_or_other,False,False,M. Kokoski,4,100.0,Hawaii,1.6,6350
Overall 2016 Hawaii Senate Election Results,independent_or_other,False,False,J. Giuffre,5,100.0,Hawaii,0.3,1303
Overall 2016 Idaho Senate Election Results,republican,True,True,M. Crapo,1,100.0,Idaho,66.1,447342
Overall 2016 Idaho Senate Election Results,democrat,False,False,J. Sturgill,2,100.0,Idaho,27.8,188104
Overall 2016 Idaho Senate Election Results,independent_or_other,False,False,R. Writz,3,100.0,Idaho,6.2,41645
Overall 2016 Illinois Senate Election Results,democrat,False,True,T. Duckworth,1,99.1,Illinois,54.4,2908363
Overall 2016 Illinois Senate Election Results,republican,True,False,M. Kirk,2,99.1,Illinois,40.2,2150099
Overall 2016 Illinois Senate Election Results,independent_or_other,False,False,K. McMillen,3,99.1,Illinois,3.2,172068
Overall 2016 Illinois Senate Election Results,independent_or_other,False,False,S. Summers,4,99.1,Illinois,2.1,113965
Overall 2016 Indiana Senate Election Results,republican,False,True,T. Young,1,99.9,Indiana,52.1,1423001
Overall 2016 Indiana Senate Election Results,democrat,False,False,E. Bayh,2,99.9,Indiana,42.4,1157799
Overall 2016 Indiana Senate Election Results,independent_or_other,False,False,L. Brenton,3,99.9,Indiana,5.5,149365
