fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
1001,Autauga County,republican,True,,R. Shelby,1,100.0,Alabama,74.2,18132
1001,Autauga County,democrat,False,,R. Crumpton,2,100.0,Alabama,25.8,6290
1003,Baldwin County,republican,True,,R. Shelby,1,100.0,Alabama,79.5,73904
1003,Baldwin County,democrat,False,,R. Crumpton,2,100.0,Alabama,20.5,19098
1005,Barbour County,republican,True,,R. Shelby,1,100.0,Alabama,53.2,5411
1005,Barbour County,democrat,False,,R. Crumpton,2,100.0,Alabama,46.8,4757
1007,Bibb County,republican,True,,R. Shelby,1,100.0,Alabama,76.1,6609
1007,Bibb County,democrat,False,,R. Crumpton,2,100.0,Alabama,23.9,2081
1009,Blount County,republican,True,,R. Shelby,1,100.0,Alabama,88.1,22117
1009,Blount County,democrat,False,,R. Crumpton,2,100.0,Alabama,11.9,2974
1011,Bullock County,democrat,False,,R. Crumpton,1,100.0,Alabama,74.3,3364
1011,Bullock County,republican,True,,R. Shelby,2,100.0,Alabama,25.7,1166
1013,Butler County,republican,True,,R. Shelby,1,100.0,Alabama,56.9,4828
1013,Butler County,democrat,False,,R. Crumpton,2,100.0,Alabama,43.1,3653
1015,Calhoun County,republican,True,,R. Shelby,1,100.0,Alabama,70.0,32917
1015,Calhoun County,democrat,False,,R. Crumpton,2,100.0,Alabama,30.0,14106
1017,Chambers County,republican,True,,R. Shelby,1,100.0,Alabama,57.3,7825
1017,Chambers County,democrat,False,,R. Crumpton,2,100.0,Alabama,42.7,5825
1019,Cherokee County,republican,True,,R. Shelby,1,100.0,Alabama,81.8,8493
1019,Cherokee County,democrat,False,,R. Crumpton,2,100.0,Alabama,18.2,1891
1021,Chilton County,republican,True,,R. Shelby,1,100.0,Alabama,81.4,14568
1021,Chilton County,democrat,False,,R. Crumpton,2,100.0,Alabama,18.6,3326
1023,Choctaw County,republican,True,,R. Shelby,1,100.0,Alabama,57.4,4029
1023,Choctaw County,democrat,False,,R. Crumpton,2,100.0,Alabama,42.6,2992
1025,Clarke County,republican,True,,R. Shelby,1,100.0,Alabama,56.3,7127
1025,Clarke County,democrat,False,,R. Crumpton,2,100.0,Alabama,43.7,5522
1027,Clay County,republican,True,,R. Shelby,1,100.0,Alabama,78.9,5131
1027,Clay County,democrat,False,,R. Crumpton,2,100.0,Alabama,21.1,1373
1029,Cleburne County,republican,True,,R. Shelby,1,100.0,Alabama,86.7,5530
1029,Cleburne County,democrat,False,,R. Crumpton,2,100.0,Alabama,13.3,846
1031,Coffee County,republican,True,,R. Shelby,1,100.0,Alabama,77.8,15691
1031,Coffee County,democrat,False,,R. Crumpton,2,100.0,Alabama,22.2,4473
1033,Colbert County,republican,True,,R. Shelby,1,100.0,Alabama,65.3,15837
1033,Colbert County,democrat,False,,R. Crumpton,2,100.0,Alabama,34.7,8423
1035,Conecuh County,republican,True,,R. Shelby,1,100.0,Alabama,52.3,3288
1035,Conecuh County,democrat,False,,R. Crumpton,2,100.0,Alabama,47.7,2998
1037,Coosa County,republican,True,,R. Shelby,1,100.0,Alabama,65.4,3375
1037,Coosa County,democrat,False,,R. Crumpton,2,100.0,Alabama,34.6,1784
1039,Covington County,republican,True,,R. Shelby,1,100.0,Alabama,82.2,12644
1039,Covington County,democrat,False,,R. Crumpton,2,100.0,Alabama,17.8,2732
1041,Crenshaw County,republican,True,,R. Shelby,1,100.0,Alabama,71.7,4389
1041,Crenshaw County,democrat,False,,R. Crumpton,2,100.0,Alabama,28.3,1733
1043,Cullman County,republican,True,,R. Shelby,1,100.0,Alabama,86.1,31746
1043,Cullman County,democrat,False,,R. Crumpton,2,100.0,Alabama,13.9,5131
1045,Dale County,republican,True,,R. Shelby,1,100.0,Alabama,74.7,13642
1045,Dale County,democrat,False,,R. Crumpton,2,100.0,Alabama,25.3,4619
1047,Dallas County,democrat,False,,R. Crumpton,1,100.0,Alabama,67.2,12380
1047,Dallas County,republican,True,,R. Shelby,2,100.0,Alabama,32.8,6053
1049,DeKalb County,republican,True,,R. Shelby,1,100.0,Alabama,81.1,20713
1049,DeKalb County,democrat,False,,R. Crumpton,2,100.0,Alabama,18.9,4827
1051,Elmore County,republican,True,,R. Shelby,1,100.0,Alabama,75.8,27578
1051,Elmore County,democrat,False,,R. Crumpton,2,100.0,Alabama,24.2,8825
1053,Escambia County,republican,True,,R. Shelby,1,100.0,Alabama,68.4,10195
1053,Escambia County,democrat,False,,R. Crumpton,2,100.0,Alabama,31.6,4717
1055,Etowah County,republican,True,,R. Shelby,1,100.0,Alabama,72.4,31223
1055,Etowah County,democrat,False,,R. Crumpton,2,100.0,Alabama,27.6,11880
