geo_name,individual_party,is_incumbent,is_winner,name,party,rank,reporting_pct,state,vote_pct,votes
Overall Alabama Senate Primaries Results,democrat,False,True,R. Crumpton,Democratic,1,100.0,Alabama,56.2,155348.0
Overall Alabama Senate Primaries Results,democrat,False,False,C. Nana,Democratic,2,100.0,Alabama,43.8,120882.0
Overall Alabama Senate Primaries Results,republican,True,True,R. Shelby,Republican,1,100.0,Alabama,64.9,503009.0
Overall Alabama Senate Primaries Results,republican,False,False,J. McConnell,Republican,2,100.0,Alabama,27.6,213783.0
Overall Alabama Senate Primaries Results,republican,False,False,J. Martin,Republican,3,100.0,Alabama,3.0,23352.0
Overall Alabama Senate Primaries Results,republican,False,False,M. Bowman,Republican,4,100.0,Alabama,2.5,19592.0
Overall Alabama Senate Primaries Results,republican,False,False,S. McGill,Republican,5,100.0,Alabama,2.0,15136.0
Overall Alaska Senate Races Results,democrat,False,True,R. Metcalfe,Democratic,1,98.4,Alaska,60.0,13631.0
Overall Alaska Senate Races Results,democrat,False,False,E. Blatchford,Democratic,2,98.4,Alaska,40.0,9074.0
Overall Alaska Senate Races Results,republican,True,True,L. Murkowski,Republican,1,98.4,Alaska,71.7,35092.0
Overall Alaska Senate Races Results,republican,False,False,B. Lochner,Republican,2,98.4,Alaska,15.1,7387.0
Overall Alaska Senate Races Results,republican,False,False,P. Kendall,Republican,3,98.4,Alaska,7.8,3803.0
Overall Alaska Senate Races Results,republican,False,False,T. Lamb,Republican,4,98.4,Alaska,5.4,2649.0
Overall Alaska Senate Races Results,independent_or_other,False,True,C. Stevens,Independent,1,100.0,Alaska,,
Overall Arizona Senate Primaries Results,democrat,False,True,A. Kirkpatrick,Democratic,1,100.0,Arizona,,
Overall Arizona Senate Primaries Results,republican,True,True,J. McCain,Republican,1,99.9,Arizona,51.7,251731.0
Overall Arizona Senate Primaries Results,republican,False,False,K. Ward,Republican,2,99.9,Arizona,39.2,191065.0
Overall Arizona Senate Primaries Results,republican,False,False,A. Meluskey,Republican,3,99.9,Arizona,5.5,26876.0
