fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
1001,Autauga County,,False,R. Crumpton,Democratic,1,100.0,Alabama,54.9,1158.0
1001,Autauga County,,False,C. Nana,Democratic,2,100.0,Alabama,45.1,953.0
1001,Autauga County,,True,R. Shelby,Republican,1,100.0,Alabama,66.1,7447.0
1001,Autauga County,,False,J. McConnell,Republican,2,100.0,Alabama,27.2,3071.0
1001,Autauga County,,False,J. Martin,Republican,3,100.0,Alabama,3.0,341.0
1001,Autauga County,,False,M. Bowman,Republican,4,100.0,Alabama,2.4,276.0
1001,Autauga County,,False,S. McGill,Republican,5,100.0,Alabama,1.2,136.0
1003,Baldwin County,,False,R. Crumpton,Democratic,1,100.0,Alabama,62.9,3388.0
1003,Baldwin County,,False,C. Nana,Democratic,2,100.0,Alabama,37.1,1997.0
1003,Baldwin County,,True,R. Shelby,Republican,1,100.0,Alabama,68.7,31421.0
1003,Baldwin County,,False,J. McConnell,Republican,2,100.0,Alabama,23.7,10843.0
1003,Baldwin County,,False,M. Bowman,Republican,3,100.0,Alabama,3.3,1486.0
1003,Baldwin County,,False,J. Martin,Republican,4,100.0,Alabama,3.0,1360.0
1003,Baldwin County,,False,S. McGill,Republican,5,100.0,Alabama,1.3,594.0
1005,Barbour County,,False,R. Crumpton,Democratic,1,100.0,Alabama,64.4,1006.0
1005,Barbour County,,False,C. Nana,Democratic,2,100.0,Alabama,35.6,557.0
1005,Barbour County,,True,R. Shelby,Republican,1,100.0,Alabama,74.6,2232.0
1005,Barbour County,,False,J. McConnell,Republican,2,100.0,Alabama,15.8,473.0
1005,Barbour County,,False,J. Martin,Republican,3,100.0,Alabama,6.1,181.0
1005,Barbour County,,False,M. Bowman,Republican,4,100.0,Alabama,2.3,68.0
1005,Barbour County,,False,S. McGill,Republican,5,100.0,Alabama,1.2,36.0
1007,Bibb County,,False,R. Crumpton,Democratic,1,100.0,Alabama,53.3,523.0
1007,Bibb County,,False,C. Nana,Democratic,2,100.0,Alabama,46.7,458.0
