fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
18001,Adams County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18001,Adams County,,True,M. Pence,Republican,1,100.0,Indiana,,
18003,Allen County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18003,Allen County,,True,M. Pence,Republican,1,100.0,Indiana,,
18005,Bartholomew County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18005,Bartholomew County,,True,M. Pence,Republican,1,100.0,Indiana,,
18007,Benton County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18007,Benton County,,True,M. Pence,Republican,1,100.0,Indiana,,
18009,Blackford County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18009,Blackford County,,True,M. Pence,Republican,1,100.0,Indiana,,
18011,Boone County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18011,Boone County,,True,M. Pence,Republican,1,100.0,Indiana,,
18013,Brown County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18013,Brown County,,True,M. Pence,Republican,1,100.0,Indiana,,
18015,Carroll County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18015,Carroll County,,True,M. Pence,Republican,1,100.0,Indiana,,
18017,Cass County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18017,Cass County,,True,M. Pence,Republican,1,100.0,Indiana,,
18019,Clark County,,False,J. Gregg,Democrat,1,100.0,Indiana,,
18019,Clark County,,True,M. Pence,Republican,1,100.0,Indiana,,
18021,Clay County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18021,Clay County,,True,M. Pence,Republican,1,100.0,Indiana,,
18023,Clinton County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18023,Clinton County,,True,M. Pence,Republican,1,100.0,Indiana,,
18025,Crawford County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18025,Crawford County,,True,M. Pence,Republican,1,100.0,Indiana,,
18027,Daviess County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18027,Daviess County,,True,M. Pence,Republican,1,100.0,Indiana,,
18029,Dearborn County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18029,Dearborn County,,True,M. Pence,Republican,1,100.0,Indiana,,
18031,Decatur County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18031,Decatur County,,True,M. Pence,Republican,1,100.0,Indiana,,
18033,DeKalb County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18033,DeKalb County,,True,M. Pence,Republican,1,100.0,Indiana,,
18035,Delaware County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18035,Delaware County,,True,M. Pence,Republican,1,100.0,Indiana,,
18037,Dubois County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18037,Dubois County,,True,M. Pence,Republican,1,100.0,Indiana,,
18039,Elkhart County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18039,Elkhart County,,True,M. Pence,Republican,1,100.0,Indiana,,
18041,Fayette County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18041,Fayette County,,True,M. Pence,Republican,1,100.0,Indiana,,
18043,Floyd County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18043,Floyd County,,True,M. Pence,Republican,1,100.0,Indiana,,
18045,Fountain County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18045,Fountain County,,True,M. Pence,Republican,1,100.0,Indiana,,
18047,Franklin County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18047,Franklin County,,True,M. Pence,Republican,1,100.0,Indiana,,
18049,Fulton County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18049,Fulton County,,True,M. Pence,Republican,1,100.0,Indiana,,
18051,Gibson County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18051,Gibson County,,True,M. Pence,Republican,1,100.0,Indiana,,
18053,Grant County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18053,Grant County,,True,M. Pence,Republican,1,100.0,Indiana,,
18055,Greene County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18055,Greene County,,True,M. Pence,Republican,1,100.0,Indiana,,
18057,Hamilton County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18057,Hamilton County,,True,M. Pence,Republican,1,100.0,Indiana,,
18059,Hancock County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18059,Hancock County,,True,M. Pence,Republican,1,100.0,Indiana,,
18061,Harrison County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18061,Harrison County,,True,M. Pence,Republican,1,100.0,Indiana,,
18063,Hendricks County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18063,Hendricks County,,True,M. Pence,Republican,1,100.0,Indiana,,
18065,Henry County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18065,Henry County,,True,M. Pence,Republican,1,100.0,Indiana,,
18067,Howard County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18067,Howard County,,True,M. Pence,Republican,1,100.0,Indiana,,
18069,Huntington County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18069,Huntington County,,True,M. Pence,Republican,1,100.0,Indiana,,
18071,Jackson County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18071,Jackson County,,True,M. Pence,Republican,1,100.0,Indiana,,
18073,Jasper County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18073,Jasper County,,True,M. Pence,Republican,1,100.0,Indiana,,
18075,Jay County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18075,Jay County,,True,M. Pence,Republican,1,100.0,Indiana,,
18077,Jefferson County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18077,Jefferson County,,True,M. Pence,Republican,1,100.0,Indiana,,
18079,Jennings County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18079,Jennings County,,True,M. Pence,Republican,1,100.0,Indiana,,
18081,Johnson County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18081,Johnson County,,True,M. Pence,Republican,1,100.0,Indiana,,
18083,Knox County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18083,Knox County,,True,M. Pence,Republican,1,100.0,Indiana,,
18085,Kosciusko County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18085,Kosciusko County,,True,M. Pence,Republican,1,100.0,Indiana,,
18087,LaGrange County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18087,LaGrange County,,True,M. Pence,Republican,1,100.0,Indiana,,
18089,Lake County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18089,Lake County,,True,M. Pence,Republican,1,100.0,Indiana,,
18091,LaPorte County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18091,LaPorte County,,True,M. Pence,Republican,1,100.0,Indiana,,
18093,Lawrence County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18093,Lawrence County,,True,M. Pence,Republican,1,100.0,Indiana,,
18095,Madison County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18095,Madison County,,True,M. Pence,Republican,1,100.0,Indiana,,
18097,Marion County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18097,Marion County,,True,M. Pence,Republican,1,100.0,Indiana,,
18099,Marshall County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
