,fips,geo_name,individual_party,is_incumbent,name_x,party,rank,reporting_pct,state,vote_pct,votes_x,name_y,precincts,results.atwoodf,results.castled,results.clintonh,results.copelands,results.de_la_fuenter,results.duncanr,results.giordanir,results.hedgesj,results.hoeflingt,results.jacobp,results.johnsong,results.kahnl,results.kenistonc,results.kennedya,results.kopitkek,results.kotlikoffl,results.la_rivag,results.lyttleb,results.maldonadoj,results.maturenm,results.mcmulline,results.mooreheadm,results.none_of_these_candidates,results.scottr,results.silvar,results.skewesp,results.smithm,results.soltysike,results.steinj,results.trumpd,results.vacekd,results.whitej,votes_y,ST,STATEFP,dem08,dem12,rep08,rep12,tot08,tot12,X,Y,rep16_frac,dem16_frac,green16_frac,libert16_frac,rep12_frac,rep08_frac,dem12_frac,dem08_frac,X1,County,Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Graduate.Degree,School.Enrollment,Median.Earnings.2010.dollars,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Children.Under.6.Living.in.Poverty,Adults.65.and.Older.Living.in.Poverty,Total.Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
0,10001,Kent County,republican,False,C. Bonini,,1,100.0,Delaware,77.3,5057.0,Kent,89.0,,,33347.0,,,,,,,,2876.0,,,,,,,,,,,,,,,,,,1041.0,36989.0,,,74253.0,DE,10.0,36392.0,35527.0,29827.0,32135.0,66925.0,68680.0,1737188.2823966062,365018.90662764094,0.4981482229674222,0.44909969967543395,0.014019635570279987,0.03873244178686383,0.4678945835760047,0.4456779977586851,0.5172830518345952,0.5437728800896526,10001.0,"Kent County, Delaware",15.1,84.9,20.0,7.4,74.15,30316.956510000004,67.05,22.4,0.55,2.0,2.9,5.1,22.6,8.15,156821.0,45.4,12.45,0.406,20.4,31.6,17.9,25.65,0.55,11.7,12.55,Delaware,67.05,22.4,5.1,2.0,0.55,2.9,69.05,0.5036185000000001,36.1,-75.50298190000001,39.0970884,3.7,3.5,0.09,37.3,0.377,0.212,0.33799999999999997,0.11900000000000001,618.8,240.5,0.105,0.076,603.91,3.93,55.5,7.9,0.35865321551770096,-0.19900852436229602,0.578397341663243,3.63723294140583e-05,3.63723294140583e-05,5.12495453715812e-05,0.000328764435200246,-0.539464594739437,9.1,4605.0,1013.0,1245.0,1244.0,1103.0,569.0,663.0,474.0,375.0,459.0,290.0,757.0,852.0,663.0,548.0,651.0,446.0,592.0,688.0,495.0,10001.0,13.833333333333302,1169.67,"(13.6,14.9]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
1,10001,Kent County,republican,False,L. Lafferty,,2,100.0,Delaware,22.7,1489.0,Kent,89.0,,,33347.0,,,,,,,,2876.0,,,,,,,,,,,,,,,,,,1041.0,36989.0,,,74253.0,DE,10.0,36392.0,35527.0,29827.0,32135.0,66925.0,68680.0,1737188.2823966062,365018.90662764094,0.4981482229674222,0.44909969967543395,0.014019635570279987,0.03873244178686383,0.4678945835760047,0.4456779977586851,0.5172830518345952,0.5437728800896526,10001.0,"Kent County, Delaware",15.1,84.9,20.0,7.4,74.15,30316.956510000004,67.05,22.4,0.55,2.0,2.9,5.1,22.6,8.15,156821.0,45.4,12.45,0.406,20.4,31.6,17.9,25.65,0.55,11.7,12.55,Delaware,67.05,22.4,5.1,2.0,0.55,2.9,69.05,0.5036185000000001,36.1,-75.50298190000001,39.0970884,3.7,3.5,0.09,37.3,0.377,0.212,0.33799999999999997,0.11900000000000001,618.8,240.5,0.105,0.076,603.91,3.93,55.5,7.9,0.35865321551770096,-0.19900852436229602,0.578397341663243,3.63723294140583e-05,3.63723294140583e-05,5.12495453715812e-05,0.000328764435200246,-0.539464594739437,9.1,4605.0,1013.0,1245.0,1244.0,1103.0,569.0,663.0,474.0,375.0,459.0,290.0,757.0,852.0,663.0,548.0,651.0,446.0,592.0,688.0,495.0,10001.0,13.833333333333302,1169.67,"(13.6,14.9]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
2,10003,New Castle County,republican,False,C. Bonini,,1,100.0,Delaware,75.3,8302.0,New Castle,267.0,,,162905.0,,,,,,,,9101.0,,,,,,,,,,,,,,,,,,3955.0,85507.0,,,261468.0,DE,10.0,178768.0,167082.0,74608.0,81230.0,256417.0,252012.0,1717509.7252760422,412553.4828336474,0.3270266342343996,0.6230399131060015,0.015126133981978675,0.034807318677620214,0.3223259209878895,0.2909635476586966,0.662992238464835,0.6971768642484703,10003.0,"New Castle County, Delaware",11.6,88.4,32.4,13.1,79.9,34948.39397,63.3,22.65,0.2,4.05,1.75,8.05,15.15,7.5,533126.5,53.4,10.1,0.441,13.15,40.7,15.65,26.25,0.2,7.7,9.5,Delaware,63.3,22.65,8.05,4.05,0.2,1.75,67.35,0.460422,36.8,-75.6441324,39.5759152,3.1,3.2,0.09,31.0,0.35100000000000003,0.16399999999999998,0.267,0.084,491.0,472.7,0.10400000000000001,0.07,643.4,7.49,54.9,9.0,-0.18164197000125304,0.306190914053346,0.903269343687968,3.94208442042188e-05,3.94208442042188e-05,0.000217858337746837,0.0008659791766983389,0.27170161223269695,25.3,4503.333333333329,952.666666666667,1224.66666666667,1184.33333333333,1141.66666666667,548.333333333333,649.333333333333,447.0,346.666666666667,432.666666666667,260.0,747.0,850.333333333333,643.333333333333,530.0,639.333333333333,421.0,566.333333333333,671.666666666667,461.0,10003.0,12.6851851851852,1143.84666666667,"(12,13.6]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
3,10003,New Castle County,republican,False,L. Lafferty,,2,100.0,Delaware,24.7,2717.0,New Castle,267.0,,,162905.0,,,,,,,,9101.0,,,,,,,,,,,,,,,,,,3955.0,85507.0,,,261468.0,DE,10.0,178768.0,167082.0,74608.0,81230.0,256417.0,252012.0,1717509.7252760422,412553.4828336474,0.3270266342343996,0.6230399131060015,0.015126133981978675,0.034807318677620214,0.3223259209878895,0.2909635476586966,0.662992238464835,0.6971768642484703,10003.0,"New Castle County, Delaware",11.6,88.4,32.4,13.1,79.9,34948.39397,63.3,22.65,0.2,4.05,1.75,8.05,15.15,7.5,533126.5,53.4,10.1,0.441,13.15,40.7,15.65,26.25,0.2,7.7,9.5,Delaware,63.3,22.65,8.05,4.05,0.2,1.75,67.35,0.460422,36.8,-75.6441324,39.5759152,3.1,3.2,0.09,31.0,0.35100000000000003,0.16399999999999998,0.267,0.084,491.0,472.7,0.10400000000000001,0.07,643.4,7.49,54.9,9.0,-0.18164197000125304,0.306190914053346,0.903269343687968,3.94208442042188e-05,3.94208442042188e-05,0.000217858337746837,0.0008659791766983389,0.27170161223269695,25.3,4503.333333333329,952.666666666667,1224.66666666667,1184.33333333333,1141.66666666667,548.333333333333,649.333333333333,447.0,346.666666666667,432.666666666667,260.0,747.0,850.333333333333,643.333333333333,530.0,639.333333333333,421.0,566.333333333333,671.666666666667,461.0,10003.0,12.6851851851852,1143.84666666667,"(12,13.6]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
4,10005,Sussex County,republican,False,C. Bonini,,1,100.0,Delaware,61.3,7791.0,Sussex,73.0,,,39329.0,,,,,,,,2774.0,,,,,,,,,,,,,,,,,,1104.0,62607.0,,,105814.0,DE,10.0,40299.0,39975.0,47939.0,52119.0,89070.0,93229.0,1762739.7237449675,321586.2772289397,0.591670289375697,0.3716804959646172,0.010433402007295822,0.026215812652390043,0.5590427871155971,0.5382171325923429,0.4287828894442716,0.4524418996295049,10005.0,"Sussex County, Delaware",14.8,85.2,21.2,8.5,72.25,27512.234285000002,76.55,12.7,0.4,0.95,1.75,7.6,20.95,6.45,190935.5,39.0,11.3,0.428,19.5,28.95,19.3,26.05,1.15,12.05,12.4,Delaware,76.55,12.7,7.6,0.95,0.4,1.75,77.5,0.60830775,44.6,-75.335495,38.67751079999999,3.5,3.4,0.08,53.2,0.41100000000000003,0.198,0.299,0.115,412.8,287.1,0.14,0.07,532.76,2.99,68.0,7.4,0.6858453787441852,-0.164106876740206,0.517396186004109,2.81492485907919e-05,2.81492485907919e-05,4.75528708338815e-05,0.000258831121921432,-0.667727340505916,10.05,4530.5,979.5,1261.5,1147.0,1142.5,571.5,662.0,480.5,383.5,466.5,300.5,757.0,847.5,667.0,547.0,645.0,449.5,594.5,686.0,503.0,10005.0,13.9722222222222,1150.747,"(13.6,14.9]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
5,10005,Sussex County,republican,False,L. Lafferty,,2,100.0,Delaware,38.7,4909.0,Sussex,73.0,,,39329.0,,,,,,,,2774.0,,,,,,,,,,,,,,,,,,1104.0,62607.0,,,105814.0,DE,10.0,40299.0,39975.0,47939.0,52119.0,89070.0,93229.0,1762739.7237449675,321586.2772289397,0.591670289375697,0.3716804959646172,0.010433402007295822,0.026215812652390043,0.5590427871155971,0.5382171325923429,0.4287828894442716,0.4524418996295049,10005.0,"Sussex County, Delaware",14.8,85.2,21.2,8.5,72.25,27512.234285000002,76.55,12.7,0.4,0.95,1.75,7.6,20.95,6.45,190935.5,39.0,11.3,0.428,19.5,28.95,19.3,26.05,1.15,12.05,12.4,Delaware,76.55,12.7,7.6,0.95,0.4,1.75,77.5,0.60830775,44.6,-75.335495,38.67751079999999,3.5,3.4,0.08,53.2,0.41100000000000003,0.198,0.299,0.115,412.8,287.1,0.14,0.07,532.76,2.99,68.0,7.4,0.6858453787441852,-0.164106876740206,0.517396186004109,2.81492485907919e-05,2.81492485907919e-05,4.75528708338815e-05,0.000258831121921432,-0.667727340505916,10.05,4530.5,979.5,1261.5,1147.0,1142.5,571.5,662.0,480.5,383.5,466.5,300.5,757.0,847.5,667.0,547.0,645.0,449.5,594.5,686.0,503.0,10005.0,13.9722222222222,1150.747,"(13.6,14.9]","(38.4,39.7]","(-78.2,178]","(1.12e+03,1.19e+03]","[-12.3,38.9]"
6,18001,Adams County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,,Adams,25.0,,,2802.0,,,,,,,,595.0,,,,,,,,,,,,,,,,,,,9642.0,,,13039.0,IN,18.0,4928.0,3806.0,8404.0,8937.0,13513.0,13011.0,924400.5454473532,417542.4430216047,0.7394738860342049,0.21489378019786792,,0.04563233376792699,0.6868803320267466,0.6219196329460519,0.2925217123972024,0.3646858580626064,18001.0,"Adams County, Indiana",17.2,82.8,12.2,4.0,68.05,26618.386665,94.85,0.3,0.15,0.2,0.7,3.8,30.5,8.05,34171.0,20.6,16.1,0.38,26.35,23.3,15.35,22.4,1.15,13.8,23.95,Indiana,94.85,0.3,3.8,0.2,0.15,0.7,95.05,0.9011604999999999,34.2,-84.9361305,40.745732700000005,2.5,2.8,0.07,31.2,0.161,0.20800000000000002,0.304,0.08900000000000001,130.9,21.3,0.18899999999999997,0.078,,,43.3,8.7,0.626692601958296,0.0585923909541176,0.8533587694654541,4.51960571403176e-05,4.51960571403176e-05,7.41463283383388e-05,0.000327897556130274,-0.0882725915404901,252.25,3825.5,700.0,1207.0,1040.0,878.5,506.0,603.5,408.0,275.0,352.5,197.5,720.5,824.5,616.5,494.5,599.5,390.0,530.0,634.0,426.0,18001.0,10.3333333333333,971.677,"(9.33,10.7]","(39.7,41]","(-87.2,-84.5]","(932,1.03e+03]","(216,259]"
7,18001,Adams County,republican,True,M. Pence,Republican,1,100.0,Indiana,,,Adams,25.0,,,2802.0,,,,,,,,595.0,,,,,,,,,,,,,,,,,,,9642.0,,,13039.0,IN,18.0,4928.0,3806.0,8404.0,8937.0,13513.0,13011.0,924400.5454473532,417542.4430216047,0.7394738860342049,0.21489378019786792,,0.04563233376792699,0.6868803320267466,0.6219196329460519,0.2925217123972024,0.3646858580626064,18001.0,"Adams County, Indiana",17.2,82.8,12.2,4.0,68.05,26618.386665,94.85,0.3,0.15,0.2,0.7,3.8,30.5,8.05,34171.0,20.6,16.1,0.38,26.35,23.3,15.35,22.4,1.15,13.8,23.95,Indiana,94.85,0.3,3.8,0.2,0.15,0.7,95.05,0.9011604999999999,34.2,-84.9361305,40.745732700000005,2.5,2.8,0.07,31.2,0.161,0.20800000000000002,0.304,0.08900000000000001,130.9,21.3,0.18899999999999997,0.078,,,43.3,8.7,0.626692601958296,0.0585923909541176,0.8533587694654541,4.51960571403176e-05,4.51960571403176e-05,7.41463283383388e-05,0.000327897556130274,-0.0882725915404901,252.25,3825.5,700.0,1207.0,1040.0,878.5,506.0,603.5,408.0,275.0,352.5,197.5,720.5,824.5,616.5,494.5,599.5,390.0,530.0,634.0,426.0,18001.0,10.3333333333333,971.677,"(9.33,10.7]","(39.7,41]","(-87.2,-84.5]","(932,1.03e+03]","(216,259]"
8,18003,Allen County,democrat,False,J. Gregg,Democrat,1,100.0,Indiana,,,Allen,338.0,,,55222.0,,,,,,,,6764.0,,,,,,,,,,,,,,,,,,,83801.0,,,145787.0,IN,18.0,71263.0,60036.0,77793.0,84613.0,150324.0,146939.0,909145.67079954,454848.1565730238,0.5748180564796587,0.37878548841803455,,0.046396455102306784,0.5758375924703448,0.5175021952582421,0.4085777091173888,0.474062691253559,18003.0,"Allen County, Indiana",11.5,88.5,26.1,8.3,77.1,29638.939365,77.55,11.45,0.25,2.35,2.25,6.2,19.45,5.75,351987.5,42.0,12.2,0.428,17.2,32.85,16.2,25.9,0.2,7.5,17.3,Indiana,77.55,11.45,6.2,2.35,0.25,2.25,79.9,0.61941925,35.2,-85.0722302,41.0918553,3.1,3.3,0.09,41.8,0.336,0.21,0.322,0.10300000000000001,563.5,136.3,0.17600000000000002,0.083,255.25,6.6,55.5,8.5,0.146886038230941,-0.0310120145673095,0.513737138665852,1.9246997549959803e-05,1.9246997549959803e-05,4.68390425323897e-05,0.00020457473932600201,-0.7185194365139341,228.75,,,,,,500.5,599.0,401.5,269.5,344.5,194.0,714.0,822.5,605.5,490.5,597.5,383.5,522.5,626.5,418.5,18003.0,10.0277777777778,,"(9.33,10.7]","(41,42.8]","(-87.2,-84.5]",,"(216,259]"
9,18003,Allen County,republican,True,M. Pence,Republican,1,100.0,Indiana,,,Allen,338.0,,,55222.0,,,,,,,,6764.0,,,,,,,,,,,,,,,,,,,83801.0,,,145787.0,IN,18.0,71263.0,60036.0,77793.0,84613.0,150324.0,146939.0,909145.67079954,454848.1565730238,0.5748180564796587,0.37878548841803455,,0.046396455102306784,0.5758375924703448,0.5175021952582421,0.4085777091173888,0.474062691253559,18003.0,"Allen County, Indiana",11.5,88.5,26.1,8.3,77.1,29638.939365,77.55,11.45,0.25,2.35,2.25,6.2,19.45,5.75,351987.5,42.0,12.2,0.428,17.2,32.85,16.2,25.9,0.2,7.5,17.3,Indiana,77.55,11.45,6.2,2.35,0.25,2.25,79.9,0.61941925,35.2,-85.0722302,41.0918553,3.1,3.3,0.09,41.8,0.336,0.21,0.322,0.10300000000000001,563.5,136.3,0.17600000000000002,0.083,255.25,6.6,55.5,8.5,0.146886038230941,-0.0310120145673095,0.513737138665852,1.9246997549959803e-05,1.9246997549959803e-05,4.68390425323897e-05,0.00020457473932600201,-0.7185194365139341,228.75,,,,,,500.5,599.0,401.5,269.5,344.5,194.0,714.0,822.5,605.5,490.5,597.5,383.5,522.5,626.5,418.5,18003.0,10.0277777777778,,"(9.33,10.7]","(41,42.8]","(-87.2,-84.5]",,"(216,259]"
