delegates,electoral_votes,fips,geo_name,individual_party,is_winner,name,rank,reporting_pct,state,vote_pct,votes
,,1001,Autauga County,R,,D. Trump,1,100.0,Alabama,73.4,18110
,,1001,Autauga County,D,,H. Clinton,2,100.0,Alabama,24.0,5908
,,1001,Autauga County,I,,G. Johnson,3,100.0,Alabama,2.2,538
,,1001,Autauga County,I,,J. Stein,4,100.0,Alabama,0.4,105
,,1003,Baldwin County,R,,D. Trump,1,100.0,Alabama,77.4,72780
,,1003,Baldwin County,D,,H. Clinton,2,100.0,Alabama,19.6,18409
,,1003,Baldwin County,I,,G. Johnson,3,100.0,Alabama,2.6,2448
,,1003,Baldwin County,I,,J. Stein,4,100.0,Alabama,0.5,453
,,1005,Barbour County,R,,D. Trump,1,100.0,Alabama,52.3,5431
,,1005,Barbour County,D,,H. Clinton,2,100.0,Alabama,46.7,4848
,,1005,Barbour County,I,,G. Johnson,3,100.0,Alabama,0.9,93
,,1005,Barbour County,I,,J. Stein,4,100.0,Alabama,0.2,18
,,1007,Bibb County,R,,D. Trump,1,100.0,Alabama,77.0,6733
,,1007,Bibb County,D,,H. Clinton,2,100.0,Alabama,21.4,1874
,,1007,Bibb County,I,,G. Johnson,3,100.0,Alabama,1.4,124
,,1007,Bibb County,I,,J. Stein,4,100.0,Alabama,0.2,17
,,1009,Blount County,R,,D. Trump,1,100.0,Alabama,89.9,22808
,,1009,Blount County,D,,H. Clinton,2,100.0,Alabama,8.5,2150
,,1009,Blount County,I,,G. Johnson,3,100.0,Alabama,1.3,337
,,1009,Blount County,I,,J. Stein,4,100.0,Alabama,0.4,89
,,1011,Bullock County,D,,H. Clinton,1,100.0,Alabama,75.1,3530
,,1011,Bullock County,R,,D. Trump,2,100.0,Alabama,24.2,1139
,,1011,Bullock County,I,,G. Johnson,3,100.0,Alabama,0.5,22
,,1011,Bullock County,I,,J. Stein,4,100.0,Alabama,0.2,10
,,1013,Butler County,R,,D. Trump,1,100.0,Alabama,56.3,4891
